"","date","datatype","station","value","fl_m","fl_q","fl_so","fl_t"
"124","2022-01-15T00:00:00","TAVG","GHCND:USW00014836",-96,"H","","S",""
"125","2022-01-15T00:00:00","TMAX","GHCND:USW00014836",-66,"","","W","2400"
"126","2022-01-15T00:00:00","TMIN","GHCND:USW00014836",-132,"","","W","2400"
"127","2022-01-15T00:00:00","WDF2","GHCND:USW00014836",40,"","","W",""
"128","2022-01-15T00:00:00","WSF2","GHCND:USW00014836",76,"","","W",""
"129","2022-01-16T00:00:00","AWND","GHCND:USW00014836",14,"","","W",""
"130","2022-01-16T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"131","2022-01-16T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"132","2022-01-16T00:00:00","TAVG","GHCND:USW00014836",-98,"H","","S",""
"133","2022-01-16T00:00:00","TMAX","GHCND:USW00014836",0,"","","W","2400"
"134","2022-01-16T00:00:00","TMIN","GHCND:USW00014836",-155,"","","W","2400"
"135","2022-01-16T00:00:00","WDF2","GHCND:USW00014836",340,"","","W",""
"136","2022-01-16T00:00:00","WSF2","GHCND:USW00014836",40,"","","W",""
"137","2022-01-17T00:00:00","AWND","GHCND:USW00014836",49,"","","W",""
"138","2022-01-17T00:00:00","PRCP","GHCND:USW00014836",0,"T","","W","2400"
"139","2022-01-17T00:00:00","SNOW","GHCND:USW00014836",0,"T","","W",""
"140","2022-01-17T00:00:00","TAVG","GHCND:USW00014836",-46,"H","","S",""
"141","2022-01-17T00:00:00","TMAX","GHCND:USW00014836",-5,"","","W","2400"
"142","2022-01-17T00:00:00","TMIN","GHCND:USW00014836",-71,"","","W","2400"
"143","2022-01-17T00:00:00","WDF2","GHCND:USW00014836",320,"","","W",""
"144","2022-01-17T00:00:00","WSF2","GHCND:USW00014836",89,"","","W",""
"145","2022-01-18T00:00:00","AWND","GHCND:USW00014836",52,"","","W",""
"146","2022-01-18T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"147","2022-01-18T00:00:00","SNOW","GHCND:USW00014836",0,"T","","W",""
"148","2022-01-18T00:00:00","TAVG","GHCND:USW00014836",-10,"H","","S",""
"149","2022-01-18T00:00:00","TMAX","GHCND:USW00014836",44,"","","W","2400"
"150","2022-01-18T00:00:00","TMIN","GHCND:USW00014836",-21,"","","W","2400"
"151","2022-01-18T00:00:00","WDF2","GHCND:USW00014836",210,"","","W",""
"152","2022-01-18T00:00:00","WSF2","GHCND:USW00014836",103,"","","W",""
"153","2022-01-19T00:00:00","AWND","GHCND:USW00014836",74,"","","W",""
"154","2022-01-19T00:00:00","PRCP","GHCND:USW00014836",0,"T","","W","2400"
"155","2022-01-19T00:00:00","SNOW","GHCND:USW00014836",0,"T","","W",""
"156","2022-01-19T00:00:00","TAVG","GHCND:USW00014836",13,"H","","S",""
"157","2022-01-19T00:00:00","TMAX","GHCND:USW00014836",56,"","","W","2400"
"158","2022-01-19T00:00:00","TMIN","GHCND:USW00014836",-71,"","","W","2400"
"159","2022-01-19T00:00:00","WDF2","GHCND:USW00014836",270,"","","W",""
"160","2022-01-19T00:00:00","WSF2","GHCND:USW00014836",125,"","","W",""
"161","2022-01-20T00:00:00","AWND","GHCND:USW00014836",31,"","","W",""
"162","2022-01-20T00:00:00","PRCP","GHCND:USW00014836",0,"T","","W","2400"
"163","2022-01-20T00:00:00","SNOW","GHCND:USW00014836",0,"T","","W",""
"164","2022-01-20T00:00:00","TAVG","GHCND:USW00014836",-72,"H","","S",""
"165","2022-01-20T00:00:00","TMAX","GHCND:USW00014836",-66,"","","W","2400"
"166","2022-01-20T00:00:00","TMIN","GHCND:USW00014836",-82,"","","W","2400"
"167","2022-01-20T00:00:00","WDF2","GHCND:USW00014836",330,"","","W",""
"168","2022-01-20T00:00:00","WSF2","GHCND:USW00014836",63,"","","W",""
"169","2022-01-21T00:00:00","AWND","GHCND:USW00014836",20,"","","W",""
"170","2022-01-21T00:00:00","PRCP","GHCND:USW00014836",0,"T","","W","2400"
"171","2022-01-21T00:00:00","SNOW","GHCND:USW00014836",0,"T","","W",""
"172","2022-01-21T00:00:00","TAVG","GHCND:USW00014836",-74,"H","","S",""
"173","2022-01-21T00:00:00","TMAX","GHCND:USW00014836",-49,"","","W","2400"
"174","2022-01-21T00:00:00","TMIN","GHCND:USW00014836",-88,"","","W","2400"
"175","2022-01-21T00:00:00","WDF2","GHCND:USW00014836",180,"","","W",""
"176","2022-01-21T00:00:00","WSF2","GHCND:USW00014836",63,"","","W",""
"177","2022-01-22T00:00:00","AWND","GHCND:USW00014836",55,"","","W",""
"178","2022-01-22T00:00:00","PRCP","GHCND:USW00014836",3,"","","W","2400"
"179","2022-01-22T00:00:00","SNOW","GHCND:USW00014836",8,"","","W",""
"180","2022-01-22T00:00:00","TAVG","GHCND:USW00014836",-68,"H","","S",""
"181","2022-01-22T00:00:00","TMAX","GHCND:USW00014836",-32,"","","W","2400"
"182","2022-01-22T00:00:00","TMIN","GHCND:USW00014836",-88,"","","W","2400"
"183","2022-01-22T00:00:00","WDF2","GHCND:USW00014836",230,"","","W",""
"184","2022-01-22T00:00:00","WSF2","GHCND:USW00014836",107,"","","W",""
"185","2022-01-22T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"186","2022-01-23T00:00:00","AWND","GHCND:USW00014836",32,"","","W",""
"187","2022-01-23T00:00:00","PRCP","GHCND:USW00014836",23,"","","W","2400"
"188","2022-01-23T00:00:00","SNOW","GHCND:USW00014836",46,"","","W",""
"189","2022-01-23T00:00:00","TAVG","GHCND:USW00014836",-64,"H","","S",""
"190","2022-01-23T00:00:00","TMAX","GHCND:USW00014836",-49,"","","W","2400"
"191","2022-01-23T00:00:00","TMIN","GHCND:USW00014836",-105,"","","W","2400"
"192","2022-01-23T00:00:00","WDF2","GHCND:USW00014836",40,"","","W",""
"193","2022-01-23T00:00:00","WSF2","GHCND:USW00014836",67,"","","W",""
"194","2022-01-23T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"195","2022-01-24T00:00:00","AWND","GHCND:USW00014836",38,"","","W",""
"196","2022-01-24T00:00:00","PRCP","GHCND:USW00014836",30,"","","W","2400"
"197","2022-01-24T00:00:00","SNOW","GHCND:USW00014836",48,"","","W",""
"198","2022-01-24T00:00:00","TAVG","GHCND:USW00014836",-75,"H","","S",""
"199","2022-01-24T00:00:00","TMAX","GHCND:USW00014836",-32,"","","W","2400"
"200","2022-01-24T00:00:00","TMIN","GHCND:USW00014836",-88,"","","W","2400"
"201","2022-01-24T00:00:00","WDF2","GHCND:USW00014836",180,"","","W",""
"202","2022-01-24T00:00:00","WSF2","GHCND:USW00014836",63,"","","W",""
"203","2022-01-24T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"204","2022-01-25T00:00:00","AWND","GHCND:USW00014836",31,"","","W",""
"205","2022-01-25T00:00:00","PRCP","GHCND:USW00014836",0,"T","","W","2400"
"206","2022-01-25T00:00:00","SNOW","GHCND:USW00014836",0,"T","","W",""
"207","2022-01-25T00:00:00","TAVG","GHCND:USW00014836",-78,"H","","S",""
"208","2022-01-25T00:00:00","TMAX","GHCND:USW00014836",-55,"","","W","2400"
"209","2022-01-25T00:00:00","TMIN","GHCND:USW00014836",-116,"","","W","2400"
"210","2022-01-25T00:00:00","WDF2","GHCND:USW00014836",270,"","","W",""
"211","2022-01-25T00:00:00","WSF2","GHCND:USW00014836",67,"","","W",""
"212","2022-01-25T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"213","2022-01-26T00:00:00","AWND","GHCND:USW00014836",36,"","","W",""
"214","2022-01-26T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"215","2022-01-26T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"216","2022-01-26T00:00:00","TAVG","GHCND:USW00014836",-108,"H","","S",""
"217","2022-01-26T00:00:00","TMAX","GHCND:USW00014836",-66,"","","W","2400"
"218","2022-01-26T00:00:00","TMIN","GHCND:USW00014836",-166,"","","W","2400"
"219","2022-01-26T00:00:00","WDF2","GHCND:USW00014836",200,"","","W",""
"220","2022-01-26T00:00:00","WSF2","GHCND:USW00014836",76,"","","W",""
"221","2022-01-27T00:00:00","AWND","GHCND:USW00014836",58,"","","W",""
"222","2022-01-27T00:00:00","PRCP","GHCND:USW00014836",5,"","","W","2400"
"223","2022-01-27T00:00:00","SNOW","GHCND:USW00014836",15,"","","W",""
"224","2022-01-27T00:00:00","TAVG","GHCND:USW00014836",-76,"H","","S",""
"225","2022-01-27T00:00:00","TMAX","GHCND:USW00014836",-10,"","","W","2400"
"226","2022-01-27T00:00:00","TMIN","GHCND:USW00014836",-132,"","","W","2400"
"227","2022-01-27T00:00:00","WDF2","GHCND:USW00014836",220,"","","W",""
"228","2022-01-27T00:00:00","WSF2","GHCND:USW00014836",107,"","","W",""
"229","2022-01-27T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"230","2022-01-28T00:00:00","AWND","GHCND:USW00014836",27,"","","W",""
"231","2022-01-28T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"232","2022-01-28T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"233","2022-01-28T00:00:00","TAVG","GHCND:USW00014836",-82,"H","","S",""
"234","2022-01-28T00:00:00","TMAX","GHCND:USW00014836",-60,"","","W","2400"
"235","2022-01-28T00:00:00","TMIN","GHCND:USW00014836",-171,"","","W","2400"
"236","2022-01-28T00:00:00","WDF2","GHCND:USW00014836",350,"","","W",""
"237","2022-01-28T00:00:00","WSF2","GHCND:USW00014836",72,"","","W",""
"238","2022-01-29T00:00:00","AWND","GHCND:USW00014836",28,"","","W",""
"239","2022-01-29T00:00:00","PRCP","GHCND:USW00014836",3,"","","W","2400"
"240","2022-01-29T00:00:00","SNOW","GHCND:USW00014836",3,"","","W",""
"241","2022-01-29T00:00:00","TAVG","GHCND:USW00014836",-118,"H","","S",""
"242","2022-01-29T00:00:00","TMAX","GHCND:USW00014836",-49,"","","W","2400"
"243","2022-01-29T00:00:00","TMIN","GHCND:USW00014836",-177,"","","W","2400"
"244","2022-01-29T00:00:00","WDF2","GHCND:USW00014836",210,"","","W",""
"245","2022-01-29T00:00:00","WSF2","GHCND:USW00014836",67,"","","W",""
"246","2022-01-30T00:00:00","AWND","GHCND:USW00014836",15,"","","W",""
