"","date","eventData","avgTemp","tempDept","precipitation","humidity","barometer","dewPoint","avgWind","maxWind","windDirection","sunrise","sunset"
"93","04-02","SN,FG,FZFG,BR,UP,HZ",32,-10,0.16,75,28.68,25,10.4,36,340,618,1907
"94","04-03","RA,SN",36,-6.5,0.04,69,28.92,24,10.9,27,180,616,1908
"95","04-04","SN,BR,HZ",28,-14.9,0.005,75,29.07,22,11.6,28,340,614,1909
"96","04-05","HZ",30,-13.3,0.01,56,29.44,16,6.8,29,130,612,1910
"97","04-06","RA,BR,HZ",40,-3.7,0.06,78,28.79,33,12.6,28,150,611,1911
"98","04-07","RA,SN,FG,BR",35,-9.2,0.18,84,28.59,30,10.7,29,320,609,1912
"99","04-08","SN,FG,BR,HZ",33,-11.6,0.25,74,28.82,24,7.9,27,40,607,1913
"100","04-09","SN,FZFG,BR,UP,FG",28,-17,0.02,58,29.13,14,9.4,29,20,606,1915
"101","04-10","RA,FZRA,SN,BR,HZ",34,-11.4,0.57,80,29.08,26,13.8,31,160,604,1916
"102","04-11","RA,BR,HZ",44,-1.8,0.03,70,28.88,35,13.1,37,300,602,1917
"103","04-12","",38,-8.2,0,57,29.3,24,7.1,22,320,601,1918
"104","04-13","",41,-5.6,0,55,29.41,27,6.9,18,150,559,1919
"105","04-14","",46,-1,0,51,29.38,28,6.5,19,100,557,1920
"106","04-15","",52,4.6,0,47,29.34,31,5.6,20,120,556,1921
"107","04-16","",58,10.3,0,40,29.41,34,6.1,19,160,554,1923
"108","04-17","",60,11.9,0,41,29.46,36,2.9,12,110,552,1924
"109","04-18","",66,17.5,0,43,29.35,42,7.1,25,50,551,1925
"110","04-19","RA",52,3.1,0.01,62,29.34,37,10,25,40,549,1926
"111","04-20","",56,6.8,0.005,38,29.25,30,10,25,140,548,1927
"112","04-21","RA,BR",55,5.4,0.25,85,28.96,50,6.9,22,200,546,1928
"113","04-22","RA,FG,BR",49,-0.9,0.005,86,29.01,48,8.2,18,20,545,1929
"114","04-23","",46,-4.3,0,56,29.23,31,5.7,20,40,543,1931
"115","04-24","",54,3.4,0,46,29.12,33,8.1,20,130,542,1932
"116","04-25","TS,RA,BR",62,11,0.2,55,28.89,43,10.4,37,310,540,1933
"117","04-26","TS,RA,FG,BR",44,-7.3,0.02,88,28.9,40,9.5,24,40,539,1934
"118","04-27","",46,-5.7,0,51,29.04,29,10.1,27,60,537,1935
"119","04-28","RA,BR",42,-10,0.31,70,29.05,31,9.2,20,80,536,1936
"120","04-29","RA",46,-6.3,0.02,75,29.15,37,6.1,17,50,534,1937
"121","04-30","RA,BR",46,-6.6,0.43,73,29.17,38,8.1,24,120,533,1939
"122","05-01","RA,BR",47,-6,0.06,90,29.05,43,10.3,22,70,532,1940
"123","05-02","RA,BR",48,-5.3,0.37,80,29.08,41,6.1,21,30,530,1941
"124","05-03","RA,BR",51,-2.6,0.02,55,28.95,37,6.8,22,240,529,1942
"125","05-04","TS,RA,BR",50,-3.9,0.43,83,28.68,45,9.6,27,60,528,1943
"126","05-05","",56,1.8,0,70,28.94,44,8.2,24,30,526,1944
"127","05-06","",56,1.5,0,55,28.98,40,2.5,14,250,525,1945
"128","05-07","",60,5.1,0.005,50,28.77,41,8.8,28,330,524,1946
"129","05-08","",52,-3.2,0,42,28.97,31,8.2,40,270,523,1948
"130","05-09","",52,-3.5,0,49,29.11,35,7.1,23,120,521,1949
"131","05-10","RA,BR",51,-4.8,0.54,75,29.15,42,10.7,29,110,520,1950
"132","05-11","BR",58,1.9,0,77,29.15,52,5.5,17,90,519,1951
"133","05-12","TS,RA,FG,BR",64,7.6,0.62,85,29,58,9,25,280,518,1952
"134","05-13","RA",57,0.3,0.05,69,28.95,46,12.4,32,260,517,1953
"135","05-14","RA,BR",44,-13,0.56,72,28.87,35,13.8,36,300,516,1954
"136","05-15","SN",40,-17.4,0.005,61,29.08,28,10.9,32,290,515,1955
"137","05-16","RA",53,-4.7,0.01,51,29.14,36,13.4,37,110,514,1956
"138","05-17","",54,-4,0.005,60,29.25,40,7.3,17,30,513,1957
"139","05-18","",52,-6.3,0,53,29.28,35,5.8,22,40,512,1958
"140","05-19","",56,-2.7,0,51,29.26,38,2.2,15,10,511,1959
"141","05-20","",56,-3,0,50,29.24,40,5.6,19,50,510,2000
"142","05-21","",62,2.7,0,52,29.13,43,6.2,22,50,509,2001
"143","05-22","",59,-0.6,0,53,29.1,43,6.7,24,40,509,2002
"144","05-23","",60,0,0,44,29.1,39,2.4,14,190,508,2003
"145","05-24","",66,5.7,0,43,29.07,46,6.9,27,220,507,2004
"146","05-25","",74,13.3,0,54,29.07,57,8.8,22,210,506,2005
"147","05-26","TS,RA,BR",74,13,0.19,71,29,63,10.2,28,190,506,2006
"148","05-27","",74,12.7,0,67,29.01,63,6.3,22,190,505,2007
"149","05-28","RA,TS",76,14.3,0.13,68,29.05,63,9.7,37,200,504,2007
"150","05-29","RA",74,12,0.01,64,29.05,61,12.3,36,250,504,2008
"151","05-30","",72,9.6,0,58,29.06,55,6.6,23,280,503,2009
"152","05-31","",68,5.3,0,56,29.1,52,4.7,24,200,503,2010
"153","06-01","",70,6.9,0.005,63,29.07,56,5.6,21,130,502,2011
"154","06-02","",68,4.6,0,57,29.05,52,8.3,28,260,502,2011
"155","06-03","",66,2.2,0,58,29.11,51,2.8,13,260,501,2012
"156","06-04","RA,BR",70,5.9,0.07,68,28.97,57,8.7,27,180,501,2013
"157","06-05","TS,RA,BR",65,0.5,0.16,77,28.69,58,11.9,34,260,501,2013
"158","06-06","RA",68,3.2,0.01,61,28.7,51,12.7,38,270,500,2014
"159","06-07","",56,-9.2,0,74,28.82,48,10.5,23,300,500,2015
"160","06-08","",57,-8.5,0,56,29,40,8.7,27,290,500,2015
"161","06-09","",58,-7.8,0.005,59,29.1,45,3.5,23,230,500,2016
"162","06-10","",70,3.8,0,57,29.05,57,7.7,20,230,500,2016
"163","06-11","",81,14.5,0,54,28.97,62,12.1,32,260,459,2017
"164","06-12","",68,1.2,0,40,29.13,40,8.4,22,310,459,2017
"165","06-13","RA",61,-6.1,0.03,60,29.13,48,4.8,15,140,459,2018
"166","06-14","",68,0.6,0,55,29.05,50,9.3,23,140,459,2018
"167","06-15","TS,RA",74,6.3,0.03,64,28.9,58,6.4,20,150,459,2019
"168","06-16","RA,BR",66,-2,0.28,85,28.82,62,7.5,24,10,459,2019
"169","06-17","",70,1.7,0,56,29.1,53,4.3,21,110,459,2019
"170","06-18","",73,4.5,0,48,29.28,52,2.4,15,180,500,2020
"171","06-19","",76,7.2,0,46,29.28,54,6.6,23,230,500,2020
"172","06-20","TS,RA",78,8.9,0.005,56,29.08,62,14.4,37,260,500,2020
"173","06-21","",67,-2.3,0,49,29.01,48,8.1,32,280,500,2020
"174","06-22","",69,-0.5,0,51,28.97,51,3.5,17,280,500,2020
"175","06-23","RA",68,-1.8,0.005,58,28.96,52,7.5,25,60,501,2021
"176","06-24","",69,-1,0,43,29.14,46,3.5,16,90,501,2021
"177","06-25","",74,3.8,0,44,29.18,51,6.8,18,170,501,2021
"178","06-26","RA",78,7.7,0.01,63,29.07,63,10.7,27,270,502,2021
"179","06-27","",78,7.5,0,54,29.05,57,11.8,37,250,502,2021
"180","06-28","",61,-9.7,0,66,29.14,50,5.8,16,320,503,2021
"181","06-29","",63,-7.8,0,51,29.15,44,3.9,16,250,503,2021
"182","06-30","",66,-5,0.005,47,29.08,46,4.2,21,260,504,2020
"183","07-01","RA,FG,BR",63,-8.1,0.3,65,29.03,52,8.3,26,320,504,2020
"184","07-02","",64,-7.2,0,56,29.2,47,4,17,310,505,2020
"185","07-03","",65,-6.3,0,51,29.16,48,4.2,17,150,505,2020
"186","07-04","",67,-4.4,0,59,29.01,55,6.3,25,150,506,2020
"187","07-05","BR,HZ",76,4.5,0,64,28.95,62,7.8,24,290,507,2019
"188","07-06","",78,6.5,0,63,28.91,62,8.3,24,250,507,2019
"189","07-07","TS,RA,BR",76,4.4,0.42,71,28.92,63,4.6,32,270,508,2019
"190","07-08","TS,RA,FG,BR,HZ",78,6.4,0.73,69,28.87,64,8.6,63,270,509,2018
"191","07-09","",71,-0.7,0,65,28.97,57,8.5,23,300,509,2018
"192","07-10","",70,-1.7,0,61,29.11,56,2.3,16,270,510,2017
"193","07-11","RA",74,2.3,0.005,62,29.1,62,6.1,19,150,511,2017
"194","07-12","TS,RA,BR",80,8.3,0.27,66,28.97,65,12.3,48,300,512,2016
"195","07-13","TS,RA,BR",78,6.3,0.15,76,28.97,68,9.1,29,210,512,2015
"196","07-14","",77,5.3,0,59,28.88,60,14.1,35,260,513,2015
"197","07-15","RA",70,-1.7,0.005,72,29,59,8.6,21,290,514,2014
"198","07-16","",66,-5.7,0,63,29.18,52,4.4,14,270,515,2013
"199","07-17","",70,-1.7,0,63,29.12,58,12.4,36,180,516,2013
"200","07-18","",76,4.3,0.005,58,29.15,60,9.7,34,220,517,2012
"201","07-19","",73,1.4,0.005,58,29.28,57,5.6,19,10,518,2011
